timestamp,client_ip,server_ip,client_port,server_port,ip_header_protocol,method,uri,host,referer,user-agent,cookie
2021-10-13 09:32:24.259620,192.168.56.105,192.168.56.107,35966,80,6,GET,/mutillidae/javascript/jQuery/colorbox/colorbox.css,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:24.734521,192.168.56.105,192.168.56.107,35966,80,6,GET,/mutillidae/styles/gritter/jquery.gritter.css,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:25.793243,192.168.56.105,192.168.56.107,35966,80,6,GET,/mutillidae/javascript/jQuery/jquery.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:26.947127,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/jQuery/colorbox/jquery.colorbox-min.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:27.801304,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/ddsmoothmenu/ddsmoothmenu.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:28.778080,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/gritter/jquery.gritter.min.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:29.836772,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/hints/hints-menu.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:30.797551,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/inline-initializers/jquery-init.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:31.760937,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/inline-initializers/ddsmoothmenu-init.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:32.828472,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/inline-initializers/populate-web-storage.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:33.788893,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/inline-initializers/gritter-init.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:34.743336,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/javascript/inline-initializers/hints-menu-init.js,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
2021-10-13 09:32:35.813855,192.168.56.105,192.168.56.107,35968,80,6,GET,/mutillidae/images/coykillericon-50-38.png,192.168.56.107,http://192.168.56.105:8443/test_for_mutillidae/mutillidae/,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98),
